# 06651（五一视界）关键信息总表（披露易 + 第三方补充，一张表）

> 口径规则：披露易优先；披露易缺失字段用富途IPO页/阿斯达克/新浪补充。
> 金额显示规则：统一用“亿/千万”，保留1位小数。

| 类别 | 字段 | 数值 | 来源类型 | 来源 |
| 公司概况 | 主营业务 | 待定 | 阿斯达克 | https://www.aastocks.com/sc/stocks/analysis/company-fundamental/?symbol=06651 |
| 公司概况 | 所属行业 | 待定 | 阿斯达克 | https://www.aastocks.com/sc/stocks/analysis/company-fundamental/?symbol=06651 |
| 财务摘要 | 最近年度收入 | 待定 | 新浪 | https://stock.finance.sina.com.cn/hkstock/quotes/06651.html |
| 财务摘要 | 最近年度净利润 | 待定 | 新浪 | https://stock.finance.sina.com.cn/hkstock/quotes/06651.html |
| 财务摘要 | 毛利率 | 待定 | 阿斯达克 | https://www.aastocks.com/sc/stocks/analysis/company-fundamental/?symbol=06651 |
| 财务摘要 | 资产负债率 | 待定 | 阿斯达克 | https://www.aastocks.com/sc/stocks/analysis/company-fundamental/?symbol=06651 |
| 募资用途 | 募资用途1 | 待定 | 披露易 | https://www1.hkexnews.hk/search/titlesearch.xhtml?lang=zh&market=SEHK&stockId=6651 |
| 募资用途 | 募资用途2 | 待定 | 披露易 | https://www1.hkexnews.hk/search/titlesearch.xhtml?lang=zh&market=SEHK&stockId=6651 |
| 募资用途 | 募资用途3 | 待定 | 披露易 | https://www1.hkexnews.hk/search/titlesearch.xhtml?lang=zh&market=SEHK&stockId=6651 |
| 募资用途 | 募资用途4 | 待定 | 披露易 | https://www1.hkexnews.hk/search/titlesearch.xhtml?lang=zh&market=SEHK&stockId=6651 |
| 风险提示 | 主要风险因素1 | 待定 | 披露易 | https://www1.hkexnews.hk/search/titlesearch.xhtml?lang=zh&market=SEHK&stockId=6651 |
| 风险提示 | 主要风险因素2 | 待定 | 披露易 | https://www1.hkexnews.hk/search/titlesearch.xhtml?lang=zh&market=SEHK&stockId=6651 |
| 风险提示 | 主要风险因素3 | 待定 | 披露易 | https://www1.hkexnews.hk/search/titlesearch.xhtml?lang=zh&market=SEHK&stockId=6651 |
