# 02609（佰泽医疗）关键信息总表（披露易 + 第三方补充，一张表）

> 口径规则：披露易优先；披露易缺失字段用富途IPO页/阿斯达克/新浪补充。
> 金额显示规则：统一用“亿/千万”，保留1位小数。

| 类别 | 字段 | 数值 | 来源类型 | 来源 |
| 行情（快照） | 连涨天数 | 4 | 富途IPO页 | https://www.futunn.com/quote/hk/ipo |
| 行情（快照） | 成交量 | 26.22万 | 富途IPO页 | https://www.futunn.com/quote/hk/ipo |
| 行情（快照） | 成交额 | 90.18万 | 富途IPO页 | https://www.futunn.com/quote/hk/ipo |
| 行情（快照） | 换手率 | 0.02% | 富途IPO页 | https://www.futunn.com/quote/hk/ipo |
| 行情（快照） | 市盈率(静) | -315.45 | 富途IPO页 | https://www.futunn.com/quote/hk/ipo |
| 行情（快照） | 总市值 | 45.75亿 | 富途IPO页 | https://www.futunn.com/quote/hk/ipo |
| 行情（快照） | 总市值（统一金额） | 45.8亿港元 | 第三方补充 | https://www.futunn.com/quote/hk/ipo |
| 暗盘 | 暗盘涨跌额 | +1.150 | 富途IPO页 | https://www.futunn.com/quote/hk/ipo |
| 暗盘 | 暗盘涨跌幅 | +27.25% | 富途IPO页 | https://www.futunn.com/quote/hk/ipo |
| 首日表现 | 首日涨幅 | +42.18% | 富途IPO页 | https://www.futunn.com/quote/hk/ipo |
| 首日表现 | 累计涨幅 | -17.77% | 富途IPO页 | https://www.futunn.com/quote/hk/ipo |
| 首日表现 | 首日开盘价 | 待定 | 阿斯达克 | https://www.aastocks.com/sc/stocks/analysis/company-fundamental/?symbol=02609 |
| 首日表现 | 首日最高价 | 待定 | 阿斯达克 | https://www.aastocks.com/sc/stocks/analysis/company-fundamental/?symbol=02609 |
| 首日表现 | 首日最低价 | 待定 | 阿斯达克 | https://www.aastocks.com/sc/stocks/analysis/company-fundamental/?symbol=02609 |
| 首日表现 | 首日收盘价 | 待定 | 新浪 | https://stock.finance.sina.com.cn/hkstock/quotes/02609.html |
| 首日成交 | 首日成交量 | 待定 | 阿斯达克 | https://www.aastocks.com/sc/stocks/analysis/company-fundamental/?symbol=02609 |
| 首日成交 | 首日成交额 | 待定 | 新浪 | https://stock.finance.sina.com.cn/hkstock/quotes/02609.html |
| 每手盈亏 | 每手打新成本（估算） | 0.0千万港元（按1000股估算） | 第三方补充 | https://www.futunn.com/quote/hk/ipo |
| 每手盈亏 | 每手账面盈亏（首日） | 待定 | 第三方补充 | https://www.aastocks.com/sc/stocks/analysis/company-fundamental/?symbol=02609 |
| 基石投资者 | 基石投资者合计获配 | 待定 | 披露易 | https://www1.hkexnews.hk/search/titlesearch.xhtml?lang=zh&market=SEHK&stockId=2609 |
| 基石投资者 | 基石锁定期 | 待定 | 披露易 | https://www1.hkexnews.hk/search/titlesearch.xhtml?lang=zh&market=SEHK&stockId=2609 |
| 公众持股 | 上市后公众持股比例 | 待定 | 披露易 | https://www1.hkexnews.hk/search/titlesearch.xhtml?lang=zh&market=SEHK&stockId=2609 |
| 公众持股 | 自由流通量合规 | 待定 | 披露易 | https://www1.hkexnews.hk/search/titlesearch.xhtml?lang=zh&market=SEHK&stockId=2609 |
| 上市合规 | 是否满足公众股东人数要求 | 待定 | 披露易 | https://www1.hkexnews.hk/search/titlesearch.xhtml?lang=zh&market=SEHK&stockId=2609 |
| 上市合规 | 是否存在高度集中风险提示 | 待定 | 披露易 | https://www1.hkexnews.hk/search/titlesearch.xhtml?lang=zh&market=SEHK&stockId=2609 |
| 公司概况 | 主营业务 | 待定 | 阿斯达克 | https://www.aastocks.com/sc/stocks/analysis/company-fundamental/?symbol=02609 |
| 公司概况 | 所属行业 | 待定 | 阿斯达克 | https://www.aastocks.com/sc/stocks/analysis/company-fundamental/?symbol=02609 |
| 财务摘要 | 最近年度收入 | 待定 | 新浪 | https://stock.finance.sina.com.cn/hkstock/quotes/02609.html |
| 财务摘要 | 最近年度净利润 | 待定 | 新浪 | https://stock.finance.sina.com.cn/hkstock/quotes/02609.html |
| 财务摘要 | 毛利率 | 待定 | 阿斯达克 | https://www.aastocks.com/sc/stocks/analysis/company-fundamental/?symbol=02609 |
| 财务摘要 | 资产负债率 | 待定 | 阿斯达克 | https://www.aastocks.com/sc/stocks/analysis/company-fundamental/?symbol=02609 |
| 募资用途 | 募资用途1 | 待定 | 披露易 | https://www1.hkexnews.hk/search/titlesearch.xhtml?lang=zh&market=SEHK&stockId=2609 |
| 募资用途 | 募资用途2 | 待定 | 披露易 | https://www1.hkexnews.hk/search/titlesearch.xhtml?lang=zh&market=SEHK&stockId=2609 |
| 募资用途 | 募资用途3 | 待定 | 披露易 | https://www1.hkexnews.hk/search/titlesearch.xhtml?lang=zh&market=SEHK&stockId=2609 |
| 募资用途 | 募资用途4 | 待定 | 披露易 | https://www1.hkexnews.hk/search/titlesearch.xhtml?lang=zh&market=SEHK&stockId=2609 |
| 风险提示 | 主要风险因素1 | 待定 | 披露易 | https://www1.hkexnews.hk/search/titlesearch.xhtml?lang=zh&market=SEHK&stockId=2609 |
| 风险提示 | 主要风险因素2 | 待定 | 披露易 | https://www1.hkexnews.hk/search/titlesearch.xhtml?lang=zh&market=SEHK&stockId=2609 |
| 风险提示 | 主要风险因素3 | 待定 | 披露易 | https://www1.hkexnews.hk/search/titlesearch.xhtml?lang=zh&market=SEHK&stockId=2609 |
