| 模块 | 条目 | 数值（统一单位） | 来源 |
| 稳价与超额配售（披露易） | 超额配售权行使日期 | 2025-07-18 | 披露易公告：https://www.hkexnews.hk/listedco/listconews/sehk/2025/0723/2025072301088_c.pdf |
| 稳价与超额配售（披露易） | 新增股份登记上市日期 | 2025-07-23 | 同上 |
| 稳价与超额配售（披露易） | 超额配售权行使比例（相对初始发行） | 15.00% | 62,156,900 / 414,379,500（由披露易数据计算） |
| 稳价与超额配售（披露易） | 稳定价格操作人名称 | 未披露（截至2026-02-22） | 稳价公告原文待补充检索 |
| 稳价与超额配售（披露易） | 稳定价格期起始日 | 未披露（截至2026-02-22） | 稳价公告原文待补充检索 |
| 稳价与超额配售（披露易） | 稳定价格期结束日 | 未披露（截至2026-02-22） | 稳价公告原文待补充检索 |
| 首日表现 | 首日开盘价 | 20.95港元 | 南财快讯：https://www.sfccn.com/2025/6-23/2MMDE1MjBfMjA0MTE2Mw.html |
| 首日表现 | 首日最高价 | 22.55港元 | Stooq日线：https://stooq.com/q/d/l/?s=2050.hk&i=d |
| 首日表现 | 首日最低价 | 20.70港元 | Stooq日线 |
| 首日表现 | 首日收盘价 | 22.50港元 | Stooq日线 |
| 首日表现 | 首日成交量 | 125,316,817股 | Stooq日线 |
| 首日表现 | 首日成交手数（按100股/手） | 1,253,168手 | 由成交量/每手股数计算；每手股数来自新浪接口 |
| 首日表现 | 首日较发售价涨跌（收盘） | -0.13% | (22.50/22.53-1)×100% |
| 首日表现 | 首日较发售价涨跌（开盘） | -7.01% | 南财快讯（开盘20.95对比22.53） |
| 首日表现 | 首日振幅 | 8.82% | (22.55-20.70)/22.53×100% |
| 首日表现 | 首日成交额 | 未披露（截至2026-02-22） | 新浪/AASTOCKS页面未直接提取到首日成交额字段 |
| 暗盘（新浪/AASTOCKS优先） | 暗盘收盘价（华盛通） | 21.85港元 | 南财快讯（引用华盛通） |
| 暗盘（新浪/AASTOCKS优先） | 暗盘较发售价涨跌（华盛通） | -3.02% | (21.85/22.53-1)×100% |
| 暗盘（新浪/AASTOCKS优先） | 富途暗盘收盘价 | 未披露（截至2026-02-22） | 富途公开页面未抓取到明确暗盘收盘字段 |
| 暗盘（新浪/AASTOCKS优先） | 辉立暗盘收盘价 | 未披露（截至2026-02-22） | 未检索到可核验来源 |
| 暗盘（新浪/AASTOCKS优先） | 耀才暗盘收盘价 | 未披露（截至2026-02-22） | 未检索到可核验来源 |
| 暗盘（新浪/AASTOCKS优先） | 暗盘成交量 | 未披露（截至2026-02-22） | 未检索到可核验来源 |
| 暗盘（新浪/AASTOCKS优先） | 暗盘成交额 | 未披露（截至2026-02-22） | 未检索到可核验来源 |
| 二级市场（新浪接口快照） | 最近交易日 | 2026-02-20 | 新浪实时接口：https://hq.sinajs.cn/list=rt_hk02050 |
| 二级市场（新浪接口快照） | 最近收盘/现价 | 36.900港元 | 同上 |
| 二级市场（新浪接口快照） | 前收 | 35.520港元 | 同上 |
| 二级市场（新浪接口快照） | 当日开盘 | 38.800港元 | 同上 |
| 二级市场（新浪接口快照） | 当日最高 | 37.500港元 | 同上 |
| 二级市场（新浪接口快照） | 当日最低 | 36.000港元 | 同上 |
| 二级市场（新浪接口快照） | 当日涨跌额 | +1.980港元 | 同上 |
| 二级市场（新浪接口快照） | 当日涨跌幅 | +5.574% | 同上 |
| 二级市场（新浪接口快照） | 当日成交额 | 571,706,275.340港元 | 同上 |
| 二级市场（新浪接口快照） | 当日成交量 | 15,223,234股 | 同上 |
| 二级市场（新浪接口快照） | 52周最高 | 46.296港元 | 同上 |
| 二级市场（新浪接口快照） | 52周最低 | 20.618港元 | 同上 |
| 二级市场（新浪接口快照） | 买一 | 37.580港元 | 同上 |
| 二级市场（新浪接口快照） | 卖一 | 37.500港元 | 同上 |
| 股本与估值（新浪接口） | 总股本 | 4,208,013,935股 | 新浪基础串口：hq_str_hk02050_i |
| 股本与估值（新浪接口） | 港股股本/流通股本 | 476,536,400股 | 同上 |
| 股本与估值（新浪接口） | 每股净资产（BVPS） | 20.618港元/股 | 同上 |
| 股本与估值（新浪接口） | 静态市盈率（TTM） | 46.296倍 | 同上 |
| 股本与估值（新浪接口） | 股息率 | 0.92% | 同上 |
| 股本与估值（新浪接口） | 发行币种 | 港元 | 同上（currency=HKD） |
| 股本与估值（新浪接口） | 行业分类（站点口径） | 工业工程 | 同上 |
| 股本与估值（新浪接口） | 发行价（接口字段） | 22.530港元/股 | 同上（issuePrice） |
| 股本与估值（新浪接口） | 每手股数（接口字段） | 100股/手 | 同上 |
| 关键日期 | 招股书披露日期 | 2025-06-13 | 披露易招股书链接含日期码20250613 |
| 关键日期 | 首个交易日 | 2025-06-23 | 披露易稳价相关公告；Stooq首条日线 |
| 关键日期 | 超额配售权行使公告日期 | 2025-07-23 | 披露易公告 |
| 关键日期 | 触发被动稀释披露事件日 | 2025-07-23 | 披露易公告（A股同步公告） |
| 控股股东持股变动（披露易） | 合计持股数（变动前） | 1,665,362,757股 | 披露易2025072301088_c.pdf |
| 控股股东持股变动（披露易） | 合计持股比例（变动前） | 40.16% | 同上 |
| 控股股东持股变动（披露易） | 合计持股比例（变动后） | 39.57% | 同上 |
| 控股股东持股变动（披露易） | 被动稀释幅度 | 0.59个百分点 | 同上 |
| 控股股东持股变动（披露易） | 变动原因 | H股发行并悉数行使超额配售权导致总股本增加 | 同上 |
| 募资用途（招股书） | 研发及创新投入占比 | 30% | 南财转述招股书用途 |
| 募资用途（招股书） | 中国境内扩产及自动化占比 | 30% | 同上 |
| 募资用途（招股书） | 海外扩产占比 | 25% | 同上 |
| 募资用途（招股书） | 数字智能基础设施占比 | 5% | 同上 |
| 募资用途（招股书） | 其余用途占比 | 10% | 按100%-（30%+30%+25%+5%）推算 |
| 数据质量 | 配发结果原文PDF编号 | 未披露（截至2026-02-22） | 已有二手转述，待补披露易原文链接 |
| 数据质量 | 富途暗盘字段完整性 | 未披露（截至2026-02-22） | 富途页面动态渲染，当前抓取未得字段 |
| 数据质量 | AASTOCKS暗盘字段完整性 | 未披露（截至2026-02-22） | AASTOCKS页面抓取受声明页干扰 |
| 数据质量 | 新浪首日成交额字段 | 未披露（截至2026-02-22） | 当前可得新浪接口无“首日成交额”回溯字段 |
| 数据质量 | 披露易稳价细项（稳定价区间/买卖笔数） | 未披露（截至2026-02-22） | 待补“稳定价格行动及稳定价格期结束”专门公告 |
| 备注 | 统一单位说明-价格 | 港元/股 | 本表统一口径 |
| 备注 | 统一单位说明-股本 | 股 | 本表统一口径 |
| 备注 | 统一单位说明-金额 | 港元（亿元/元并列时已注明） | 本表统一口径 |
| 备注 | 数据截止日 | 2026-02-22 | 任务要求 |
