【1333 博雷顿】

| 模块 | 条目 | 数值（统一单位） | 来源 |
[1] 披露易：配发结果公告（1333）  
https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0506/2025050602876_c.pdf

[2] 披露易：招股章程链接（当前返回404，待披露易恢复）  
https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0425/2025042500049_c.pdf

[3] 新浪财经：新股暗盘盘初报道  
https://finance.sina.com.cn/stock/hkstock/ggscyd/2025-05-06/doc-inevrkuv4515140.shtml

[4] 新浪财经：首日上市报道  
https://finance.sina.com.cn/stock/bxjj/2025-05-07/doc-inevtine1314810.shtml

[5] 新浪财经：配发结果相关报道（含暗盘收盘转述）  
https://finance.sina.com.cn/stock/hkstock/ggscyd/2025-05-06/doc-inevrzsp4230024.shtml
