| 模块 | 条目 | 数值（统一单位） | 来源 |
| 配发结果 | 回拨后国际配售占比 | 未披露（截至2026-02-22） | 披露易-配发结果检索页 |
| 配发结果 | 甲组1手中签率 | 未披露（截至2026-02-22） | 披露易-配发结果检索页 |
| 配发结果 | 甲组稳获1手所需手数 | 未披露（截至2026-02-22） | 披露易-配发结果检索页 |
| 配发结果 | 乙组入场门槛 | 未披露（截至2026-02-22） | 披露易-配发结果检索页 |
| 配发结果 | 基石投资者名单 | 未披露（截至2026-02-22） | 披露易-招股书/配发结果检索页 |
| 配发结果 | 基石投资金额合计 | 250.0百万美元 | 披露易-招股书 |
| 配发结果 | 基石投资金额合计（港元口径） | 1,950.0百万港元 | 披露易-招股书 |
| 稳价机制 | 稳定价格期起始日 | 未披露（截至2026-02-22） | 披露易-稳价公告检索页 |
| 稳价机制 | 稳定价格期结束日 | 未披露（截至2026-02-22） | 披露易-稳价公告检索页 |
| 稳价机制 | 稳价人名称 | 未披露（截至2026-02-22） | 披露易-稳价公告检索页 |
| 稳价机制 | 稳价期间购入股份数 | 未披露（截至2026-02-22） | 披露易-稳价公告检索页 |
| 稳价机制 | 稳价期间最高买入价 | 未披露（截至2026-02-22） | 披露易-稳价公告检索页 |
| 稳价机制 | 稳价期间最低买入价 | 未披露（截至2026-02-22） | 披露易-稳价公告检索页 |
| 稳价机制 | 是否行使超额配股权 | 未披露（截至2026-02-22） | 披露易-稳价公告检索页 |
| 稳价机制 | 实际超额配发股份数 | 未披露（截至2026-02-22） | 披露易-稳价公告检索页 |
| 稳价机制 | 超额配发占发售比例 | 未披露（截至2026-02-22） | 披露易-稳价公告检索页 |
| 暗盘（新浪/AASTOCKS/富途） | 富途暗盘开盘价 | 未披露（截至2026-02-22） | 富途-01828（https://www.futunn.com/hk/stock/01828-HK） |
| 暗盘（新浪/AASTOCKS/富途） | 富途暗盘最高价 | 未披露（截至2026-02-22） | 富途-01828 |
| 暗盘（新浪/AASTOCKS/富途） | 富途暗盘最低价 | 未披露（截至2026-02-22） | 富途-01828 |
| 暗盘（新浪/AASTOCKS/富途） | 富途暗盘收盘价 | 未披露（截至2026-02-22） | 富途-01828 |
| 暗盘（新浪/AASTOCKS/富途） | 富途暗盘涨跌幅（对38.00） | 未披露（截至2026-02-22） | 富途-01828 |
| 暗盘（新浪/AASTOCKS/富途） | 辉立暗盘收盘价 | 未披露（截至2026-02-22） | 新浪港股-01828新闻页 |
| 暗盘（新浪/AASTOCKS/富途） | 辉立暗盘涨跌幅（对38.00） | 未披露（截至2026-02-22） | 新浪港股-01828新闻页 |
| 暗盘（新浪/AASTOCKS/富途） | 暗盘成交量 | 未披露（截至2026-02-22） | AASTOCKS-01828（https://www.aastocks.com/sc/stocks/quote/detail-quote.aspx?symbol=1828） |
| 暗盘（新浪/AASTOCKS/富途） | 暗盘成交额 | 未披露（截至2026-02-22） | AASTOCKS-01828 |
| 上市首日（新浪/AASTOCKS） | 首日开盘价 | 未披露（截至2026-02-22） | 新浪港股行情-01828（http://stock.finance.sina.com.cn/hkstock/quotes/01828.html） |
| 上市首日（新浪/AASTOCKS） | 首日最高价 | 未披露（截至2026-02-22） | 新浪港股行情-01828 |
| 上市首日（新浪/AASTOCKS） | 首日最低价 | 未披露（截至2026-02-22） | 新浪港股行情-01828 |
| 上市首日（新浪/AASTOCKS） | 首日收盘价 | 未披露（截至2026-02-22） | 新浪港股行情-01828 |
| 上市首日（新浪/AASTOCKS） | 首日涨跌额（对38.00） | 未披露（截至2026-02-22） | 新浪港股行情-01828 |
| 上市首日（新浪/AASTOCKS） | 首日涨跌幅（对38.00） | 未披露（截至2026-02-22） | 新浪港股行情-01828 |
| 上市首日（新浪/AASTOCKS） | 首日成交量 | 未披露（截至2026-02-22） | AASTOCKS-01828 |
| 上市首日（新浪/AASTOCKS） | 首日成交额 | 未披露（截至2026-02-22） | AASTOCKS-01828 |
| 上市首日（新浪/AASTOCKS） | 首日振幅 | 未披露（截至2026-02-22） | AASTOCKS-01828 |
| 上市首日（新浪/AASTOCKS） | 首日换手率 | 未披露（截至2026-02-22） | AASTOCKS-01828 |
| 股本与估值 | 上市后已发行股本（假设未行使超配） | 1,271,003,877股 | 披露易-招股书 |
| 股本与估值 | 上市后已发行股本（假设行使超配） | 1,284,705,177股 | 披露易-招股书（按+13,701,300股计算） |
| 股本与估值 | 公开发售前后口径每股对应市值 | 38.00港元/股 | 披露易-招股书 |
| 股本与估值 | 发行市盈率（静态） | 未披露（截至2026-02-22） | 披露易-招股书/新浪港股 |
| 股本与估值 | 发行市净率（静态） | 未披露（截至2026-02-22） | 披露易-招股书/AASTOCKS |
| 资金用途 | 净筹资主要用途1（提升监管资本） | 已披露（定量拆分未披露，截至2026-02-22） | 披露易-招股书“所得款项用途” |
| 资金用途 | 净筹资主要用途2（降低杠杆） | 已披露（定量拆分未披露，截至2026-02-22） | 披露易-招股书“所得款项用途” |
| 资金用途 | 净筹资主要用途3（支持增长） | 已披露（定量拆分未披露，截至2026-02-22） | 披露易-招股书“所得款项用途” |
| 费用与税费 | 认购1手预计总应付（含四项费率，估算） | 3,838.03港元/手 | 披露易-招股书（按费率估算） |
| 费用与税费 | 费率合计 | 1.0085% | 披露易-招股书（1.0%+0.0027%+0.00015%+0.00565%） |
| 对照校验 | 披露易核心文件-招股书 | 已获取 | 披露易-2025062600018_c.pdf |
| 对照校验 | 披露易核心文件-配发结果 | 未披露（截至2026-02-22） | 披露易标题检索 |
| 对照校验 | 披露易核心文件-稳价公告 | 未披露（截至2026-02-22） | 披露易标题检索 |
| 对照校验 | 新浪二级来源已检索 | 已检索 | 新浪01828新闻/行情页 |
| 对照校验 | AASTOCKS二级来源已检索 | 已检索 | AASTOCKS 1828详情页 |
| 对照校验 | 富途二级来源已检索 | 已检索 | 富途 01828-HK 页面 |
| 截止标记 | 数据截止日期 | 2026-02-22 | 本次整理口径 |
