【2691 南华期货股份】

| 模块 | 条目 | 数值（统一单位） | 来源 |
| 3 公开发售 | 白表eIPO查询网址 | 未披露（截至2026-02-22） | 披露易配发结果[2] |
| 3 公开发售 | 退款支票/退款日程 | 未披露（截至2026-02-22） | 披露易配发结果[2] |

| 4 配售（国际） | 承配人（placees）数量 | 未披露（截至2026-02-22） | 披露易配发结果[2] |
| 4 配售（国际） | 配售超购倍数 | 未披露（截至2026-02-22） | 披露易配发结果[2] |
| 4 配售（国际） | 最大承配人获配股数 | 未披露（截至2026-02-22） | 披露易配发结果[2] |
| 4 配售（国际） | 前5大承配人占比 | 未披露（截至2026-02-22） | 披露易配发结果[2] |
| 4 配售（国际） | 前10大承配人占比 | 未披露（截至2026-02-22） | 披露易配发结果[2] |
| 4 配售（国际） | 前25大承配人占比 | 未披露（截至2026-02-22） | 披露易配发结果[2] |
| 4 配售（国际） | 关联客户获配 | 未披露（截至2026-02-22） | 披露易配发结果[2] |
| 4 配售（国际） | 承配集中度风险提示 | 未披露（截至2026-02-22） | 披露易配发结果[2] |

| 5 基石 | 基石投资者数量 | 未披露（截至2026-02-22） | 披露易配发结果[2] |
| 5 基石 | 基石合计获配股数 | 未披露（截至2026-02-22） | 披露易配发结果[2] |
| 5 基石 | 基石合计占发售 | 未披露（截至2026-02-22） | 披露易配发结果[2] |
| 5 基石 | 基石合计占上市后股本 | 未披露（截至2026-02-22） | 披露易配发结果[2] |
| 5 基石 | 基石名单1 | 未披露（截至2026-02-22） | 披露易配发结果[2] |
| 5 基石 | 基石名单2 | 未披露（截至2026-02-22） | 披露易配发结果[2] |
| 5 基石 | 基石名单3 | 未披露（截至2026-02-22） | 披露易配发结果[2] |
| 5 基石 | 基石锁定期到期日 | 未披露（截至2026-02-22） | 披露易配发结果[2] |

| 6 股权与锁定 | 控股股东（上市时） | 未披露（截至2026-02-22） | 披露易配发结果[2] |
| 6 股权与锁定 | 控股股东持股数 | 未披露（截至2026-02-22） | 披露易配发结果[2] |
| 6 股权与锁定 | 控股股东持股比例 | 未披露（截至2026-02-22） | 披露易配发结果[2] |
| 6 股权与锁定 | 首六个月禁售到期 | 未披露（截至2026-02-22） | 披露易配发结果[2] |
| 6 股权与锁定 | 次六个月禁售到期 | 未披露（截至2026-02-22） | 披露易配发结果[2] |
| 6 流通盘/公众持股 | 上市后公众持股比例 | 未披露（截至2026-02-22） | 披露易配发结果[2] |
| 6 流通盘/公众持股 | 上市后公众持股量 | 未披露（截至2026-02-22） | 披露易配发结果[2] |
| 6 流通盘/公众持股 | 公众股东人数（最低要求） | 未披露（截至2026-02-22） | 披露易配发结果[2] |

| 7 风险提示 | 持股集中风险提示 | 未披露（截至2026-02-22） | 披露易配发结果[2] |
| 7 风险提示 | 稳价期后波动风险 | 未披露（截至2026-02-22） | 披露易稳价公告[4] |
| 7 风险提示 | 业务周期风险（期货行业） | 未披露（截至2026-02-22） | 披露易招股书[3] |
| 7 风险提示 | 监管政策变动风险 | 未披露（截至2026-02-22） | 披露易招股书[3] |
| 7 风险提示 | 汇率风险 | 未披露（截至2026-02-22） | 披露易招股书[3] |

| 8 交易规则 | 经纪佣金 | 未披露（截至2026-02-22） | 披露易配发结果[2] |
| 8 交易规则 | 证监会交易征费 | 未披露（截至2026-02-22） | 披露易配发结果[2] |
| 8 交易规则 | 联交所交易费 | 未披露（截至2026-02-22） | 披露易配发结果[2] |
| 8 交易规则 | 会财局交易征费 | 未披露（截至2026-02-22） | 披露易配发结果[2] |
| 8 交易规则 | 中央结算系统费 | 未披露（截至2026-02-22） | 披露易招股书[3] |
| 8 交易规则 | 每手入场费（上限价口径） | 未披露（截至2026-02-22） | 披露易招股书[3] |
| 8 交易规则 | 每手入场费（最终价重算） | 未披露（截至2026-02-22） | 按最终价计算 |

| 9 董事信息 | 董事会主席 | 未披露（截至2026-02-22） | 披露易招股书[3] |
| 9 董事信息 | 执行董事（节选） | 未披露（截至2026-02-22） | 披露易招股书[3] |
| 9 董事信息 | 非执行董事（节选） | 未披露（截至2026-02-22） | 披露易招股书[3] |
| 9 董事信息 | 独立非执行董事（节选） | 未披露（截至2026-02-22） | 披露易招股书[3] |

| 10 公司网站 | 公司官网（招股书口径） | 未披露（截至2026-02-22） | 披露易招股书[3] |
| 10 公司网站 | 投资者关系页 | 未披露（截至2026-02-22） | 公司官网 |

| 11 所得款用途 | 补充监管资本 | 未披露（截至2026-02-22） | 披露易招股书[3] |
| 11 所得款用途 | 信息系统建设 | 未披露（截至2026-02-22） | 披露易招股书[3] |
| 11 所得款用途 | 跨境业务拓展 | 未披露（截至2026-02-22） | 披露易招股书[3] |
| 11 所得款用途 | 一般营运资金 | 未披露（截至2026-02-22） | 披露易招股书[3] |

| 12 暗盘（富途/AASTOCKS/新浪） | 暗盘涨跌额（索引） | -0.92港元 | 项目索引页[8] |
| 12 暗盘（富途/AASTOCKS/新浪） | 暗盘涨跌幅（索引） | -7.7% | 项目索引页[8] |
| 12 暗盘（富途） | 富途暗盘开盘价 | 未披露（截至2026-02-22） | 富途[5] |
| 12 暗盘（富途） | 富途暗盘最高/最低 | 未披露（截至2026-02-22） | 富途[5] |
| 12 暗盘（富途） | 富途暗盘收盘价 | 未披露（截至2026-02-22） | 富途[5] |
| 12 暗盘（富途） | 富途暗盘成交量/额 | 未披露（截至2026-02-22） | 富途[5] |
| 12 暗盘（AASTOCKS） | AASTOCKS暗盘收盘口径 | 未披露（截至2026-02-22） | AASTOCKS[6] |
| 12 暗盘（新浪） | 新浪暗盘口径 | 未披露（截至2026-02-22） | 新浪[7] |
| 12 暗盘（估算） | 暗盘每手盈亏（按收盘） | 未披露（截至2026-02-22） | 按暗盘收盘价计算 |

| 13 招股热度 | 融资认购倍数（券商口径） | 未披露（截至2026-02-22） | 富途/媒体 |
| 13 招股热度 | 公开发售申购人数（媒体口径） | 未披露（截至2026-02-22） | 媒体汇总 |
| 13 招股热度 | 披露易最终公开超购 | 未披露（截至2026-02-22） | 披露易配发结果[2] |
| 13 招股热度 | 披露易最终国际超购 | 未披露（截至2026-02-22） | 披露易配发结果[2] |

| 14 首日表现 | 首日开盘价 | 未披露（截至2026-02-22） | AASTOCKS[6] |
| 14 首日表现 | 首日最高/最低 | 未披露（截至2026-02-22） | AASTOCKS[6] |
| 14 首日表现 | 首日收盘价 | 未披露（截至2026-02-22） | AASTOCKS[6] |
| 14 首日表现 | 首日成交量 | 未披露（截至2026-02-22） | AASTOCKS[6] |
| 14 首日表现 | 首日成交额 | 未披露（截至2026-02-22） | AASTOCKS[6] |
| 14 首日表现 | 首日涨幅（索引） | -24.2% | 项目索引页[8] |
| 14 首日表现 | 首日换手率 | 未披露（截至2026-02-22） | AASTOCKS[6] |
| 14 首日表现 | 首日振幅 | 未披露（截至2026-02-22） | AASTOCKS[6] |

| 15 中签率与分配 | 有效申请/成功申请 | 未披露（截至2026-02-22） | 披露易配发结果[2] |
| 15 中签率与分配 | 一手中签率 | 未披露（截至2026-02-22） | 披露易配发表[2] |
| 15 中签率与分配 | 甲尾段中签率 | 未披露（截至2026-02-22） | 披露易配发表[2] |
| 15 中签率与分配 | 乙头段中签率 | 未披露（截至2026-02-22） | 披露易配发表[2] |

| 16 二级市场快照（索引） | 最新价（索引） | HK$10.2 | 项目索引页[8] |
| 16 二级市场快照（索引） | 累计涨幅（索引） | -14.7% | 项目索引页[8] |
| 16 二级市场快照（索引） | 当日涨跌幅（索引） | -3.9% | 项目索引页[8] |
| 16 二级市场快照（索引） | 连涨天数（索引） | 5天 | 项目索引页[8] |
| 16 二级市场快照（索引） | 当日成交量（索引） | 5.5万股 | 项目索引页[8] |
| 16 二级市场快照（索引） | 当日成交额（索引） | 57.1万港元 | 项目索引页[8] |
| 16 二级市场快照（索引） | 换手率（索引） | 0.1% | 项目索引页[8] |
| 16 二级市场快照（索引） | 市盈率TTM（索引） | 14.9 | 项目索引页[8] |
| 16 二级市场快照（索引） | 总市值（索引） | 73.5亿港元 | 项目索引页[8] |

| 17 对照提示 | 暗盘→首日表现 | 索引显示暗盘偏弱、首日显著破发 | 项目索引页[8] |
| 17 对照提示 | 首日→当前表现 | 当前仍低于发行价 | 项目索引页[8] |
| 17 对照提示 | 待优先补齐清单 | 配发结果直链、一手中签率、回拨与绿鞋 | 执行备注 |

---

### 来源链接
[1] 披露易检索页（输入 02691 / 南华期货）  
https://www1.hkexnews.hk/search/titlesearch.xhtml

[2] 披露易：配发结果/配发表（02691，未披露（截至2026-02-22）直链）  
https://www1.hkexnews.hk/search/titlesearch.xhtml

[3] 披露易：招股章程（02691，未披露（截至2026-02-22）直链）  
https://www1.hkexnews.hk/search/titlesearch.xhtml

[4] 披露易：稳定价格行动/稳定价格期结束（02691，未披露（截至2026-02-22）直链）  
https://www1.hkexnews.hk/search/titlesearch.xhtml

[5] 富途个股页（02691）  
https://www.futunn.com/quote/hk/02691

[6] AASTOCKS（02691新闻页）  
https://www.aastocks.com/sc/stocks/analysis/stock-aafn/02691/0/hk-stock-news/1

[7] 新浪财经（港股频道）  
https://finance.sina.com.cn/stock/hkstock/marketalerts/

[8] 项目索引页（本仓库 docs/index.html 中 02691 行）  
./docs/index.html
